ko,en,ja,zh-TW,th,zh-CN,id,tl,ms,hi,vi,af,ak,sq,am,ar,hy,as,ay,az,bm,eu,be,bn,bho,bs,bg,ca,ceb,ny,co,hr,cs,da,dv,doi,nl,eo,et,ee,fi,fr,fy,gl,lg,ka,de,gom,el,gn,gu,ht,ha,haw,hmn,hu,is,ig,ilo,ga,it,kn,kk,km,rw,kri,ku,ckb,ky,lo,la,lv,ln,lt,lb,mk,mai,mg,ml,mt,mni-Mtei,mi,mr,lus,mn,my,ne,nso,no,or,om,ps,fa,pl,pt,pa,qu,ro,ru,sm,sa,gd,sr,st,sn,sd,si,sk,sl,so,es,su,sw,sv,tg,ta,tt,te,ti,ts,tr,tk,uk,ur,ug,uz,cy,xh,yi,yo,zu,he,jv
블레이드 드래곤,Blade Dragon,ブレードドラゴン,刀鋒龍,มังกรเบลด,刃龙,Naga Blade,Blade Dragon,Naga Naga,ब्लेड अजगर,Đao Long,Blade Draak,Blade Ɔtweaseɛ,Blade Dragoi,Blade ዘንዶ,التنين بليد,Blade Վիշապ,ব্লেড ড্ৰেগন,Dragón ukax mä jach’a uñacht’äwiwa de Cuchilla ukax mä jach’a uñacht’äwiwa,Blade Əjdaha,Dragon (Dragon) ye Blade ye,Blade herensuge,Клінковы Цмок,ব্লেড ড্রাগন,ब्लेड ड्रैगन के नाम से जानल जाला,Blade zmaj,Blade Дракон,Drac Drac,Blade dragon,Blade Chinjoka,Dragon Blade,Blade Zmaj,Blade Drak,Blade Trække på,ބްލޭޑް ޑްރެގަން އެވެ,ब्लेड अजगर,Blade Draak,Klingo Drako,Blade Draakon,Blade Ʋɔ driba,Blade Lohikäärme,Dragon-Lame,Blade draak,Dragón Blade,Ekisota Blade,Blade დრაკონი,Drachen,ब्लेड ड्रॅगन हें नांव,Blade Δράκων,Dragón Cuchilla rehegua,બ્લેડ ડ્રેગન,Lam Dragon,Dragon Blade,Deragona Blade,Hniav Zaj,Penge Sárkány,Blað Dreki,Dragọn agụba,Dragon ti Tadem,Dragon Blade,Drago Drago,ಬ್ಲೇಡ್ ಡ್ರ್ಯಾಗನ್,Жүзді Айдаһар,Blade នាគ,Ikiyoka,Blɛd Dragon we de na di wɔl,Blade Zîha,ئەژدیها تیغ,Blade Dragon,Blade ມັງກອນ,ferrum draco,Asmens Pūķis,Dragon ya Lame,drakonas ašmenys,Blade Dragon,Блејд Змеј,ब्लेड अजगर,Blade Dragona,ബ്ലേഡ് ഡ്രാഗൺ,Blade Dragun,ꯕ꯭ꯂꯦꯗ ꯗ꯭ꯔꯒꯟ꯫,tarakona Mata,ब्लेड ड्रॅगन,Blade Dragon a ni,Ирт Луу,Blade နဂါး,ब्लेड ड्र्यागन,Drakone ya Legare,Blade Drage,ବ୍ଲେଡ୍ ଡ୍ରାଗନ୍ |,Blade Draagoon,بلیډ ډریگن,اژدهای اژدها,Ostrze smok,Dragão Lâmina,ਬਲੇਡ ਡਰੈਗਨ,Cuchilla Dragon,Blade balaur,Лезвиус,Lako tarako,ब्लेड अजगर,Dragon lann,Бладе Драгон,Blade Drakone,Blade Dragon,بليڊ ڊريگن,බ්ලේඩ් මකරා,Blade drak,Blade Zmaj,Blade masduulaagii,Bladerago,Naga sabeulah,Blade joka,Blade drake,Blade Аждаҳо,பிளேட் டிராகன்,Блэйд Аждаһа,బ్లేడ్ డ్రాగన్,ብሌድ ገበል,Dragona ya Blade,Kılıç Ejderha,Blade Aagondarha,Blade Дракон,بلیڈ ڈریگن,Blade ئەجدىھا,Blade Ajdaho,Blade Draig,Blade Idragoni,בלייד דראַגאָן,Blade Dragoni,Blade Dragon,דרקון להב,Blade Naga
스플렌더,Splender,スプレンダー,璀璨龍,สเปลนเดอร์,璀璨龙,Splender,Splender,Splender,वैभव,Hoa Lệ Long,Pragtig,Splender a ɛyɛ fɛ,Shkëlqim,ግርማ ሞገስ,روعة,Շքեղություն,স্প্লেণ্ডাৰ,Splender ukax mä juk’a pachanakanwa,Möhtəşəm,Splender (Splender) ye,Distira,Пышнасць,স্প্লেন্ডার,स्प्लेंडर के बा,Splender,Разкош,Esplendor,Kanindot,Splender,Splendidu,Sjaj,Nádhera,Pragt,ސްޕްލެންޑަރ އެވެ,स्प्लेंडर,Pracht,Splender,Slender,Splender ƒe ŋkume,Loistava,Splender,Splender,Esplendor,Splender (Splender) nga bwe kiri,ბრწყინვალება,Pracht,स्प्लेंडर हें नांव,Splender,Esplender rehegua,સ્પ્લેન્ડર,Splender,Girma,Splender,Zoo nkauj,Splender,Glæsileiki,Onye mara mma,Splender ti Splender,Splender,Splendore,ಸ್ಪ್ಲೆಂಡರ್,Керемет,រុងរឿង,Umuyoboro,Splender we gɛt bɔku bɔku tin dɛn,Splender,سپلێندەر,Splender,ສີປະເສີດ,Splendor,Spožums,Splender ya nzoto,Splenderis,Splender,Сплендер,स्प्लेंडर,Splender,സ്പ്ലെൻഡർ,Splender,ꯁ꯭ꯞꯂꯦꯟꯗꯔ ꯇꯧꯕꯥ꯫,Te hiako,स्प्लेंडर,Splender a ni,Спэндер,ဘုန်း,स्प्लेंडर,Splender ya go phatloga,Splender,ସ୍ପ୍ଲେଣ୍ଡର,Splender jedhamu,سپلیندر,شکوهمند,Splendor,Splender,ਸਪਲੇਂਡਰ,Esplender nisqa,Splender,Сплендер,Splender,स्प्लेन्डर,Spear,Сплендер,Splender,Splender,اسپيلر,ස්ප්ලෙන්ඩර්,Nádhera,Splender,Quruxda,Splender,Splender,Mzuri,Splender,Сплендер,ஸ்ப்ளெண்டர்,Сплендер,స్ప్లెండర్,ስፕለንደር,Splender ya xirhendzevutani,muhteşem,Splender,пишність,Splender,Splender,Splender,Ysblenydd,Ubukhazikhazi,ספּלענדער,Splender,I-Splender,פאר,Splender
스콜피온 드래곤,Scorpion Dragon,スコーピオンドラゴン,蠍龍,มังกรสกอร์เปียน,蝎龙,Naga Scorpion,Scorpion Dragon,Naga Naga,बिच्छू अजगर,Bọ Cạp Long,Skerpioen Draak,Scorpion Ɔtweaseɛ,Dragoi Dragoi,ጊንጥ ዘንዶ,التنين العقرب,Scorpion Վիշապ,বিচ্ছু ড্ৰেগন,Dragón ukax mä jach’a uñacht’äwiwa de Escorpión ukax mä jach’a uñacht’äwiwa,Əqrəb Əjdaha,Dragon (Dragon) ye bɛ wele ko Scorpion,Scorpion herensuge,Цмок- Цмок,বিচ্ছু ড্রাগন,बिच्छू ड्रैगन के नाम से जानल जाला जानल जाला,Scorpion zmaj,Скорпион Дракон,Drac Escorpí,Scorpion nga dragon,Chinjoka Scorpion,Scorpion Dragon,Škorpion Zmaj,Drak Scorpion,Scorpion Trække på,ސްކޯޕިއަން ޑްރެގަން އެވެ,बिच्छू अजगर,Schorpioen Draak,Skorpio- Drako,Skorpioni Draakon,Dziɖegbe Ʋɔ driba,Scorpion Lohikäärme,Dragon-Scorpio,Scorpion draak,Dragón Escorpión,Omusota Ekisota,მორიელი დრაკონი,Skorpion- Drachen,बिच्छू ड्रॅगन हें नांव,Σκορπιός Δράκων,Dragón Escorpión rehegua,સ્કોર્પિયન ડ્રેગન,Dragon eskòpyon,Dragon Dragon,Deragona Scorpion,Scorpion Zaj,Skorpió Sárkány,Dreki,Dragọn Scorpion,Dragon nga Scorpion,Dragon Scairp,Drago Drago,ಸ್ಕಾರ್ಪಿಯನ್ ಡ್ರ್ಯಾಗನ್,Айдаһар Скорпион,Scorpion នាគ,Ikiyoka,Skɔpiɔn Dragon,Scorpion Zîha,ئەژدیها عەقارەب,Скорпион Dragon,ມັງກອນ Scorpion,Scorpius draco,Skorpiona Pūķis,Dragon ya Scorpion,Skorpiono drakonas,Scorpion Dragon,Скорпија Змеј,बिच्छू अजगर,Scorpion Dragona,സ്കോർപിയോൺ ഡ്രാഗൺ,Scorpion Dragun,ꯁ꯭ꯀꯣꯔꯄꯤꯌꯟ ꯗ꯭ꯔꯒꯟ꯫,tarakona Scorpion,विंचू ड्रॅगन,Scorpion Dragon a ni,Хилэнц Луу,ကင်းမြီးကောက် နဂါး,बिच्छी ड्र्यागन,Drakone ya Phepheng,Scorpion Drage,ବିଛା ଡ୍ରାଗନ୍ |,Draagoon Scorpion,سکورپین ډریگن,اژدهای اژدها,Skorpion smok,Dragão Escorpião,ਬਿੱਛੂ ਡਰੈਗਨ,Escorpión Dragon,balaur Scorpion,Скорпиус,tarako Scorpion,वृश्चिक अजगर,Dragon Scorpion,Сцорпион Драгон,Scorpion Drakone,Scorpion Dragon,اسڪرپين ڊريگن,Scorpion මකරා,drak Škorpión,Škorpijon Zmaj,masduulaagii,Draskorpio,Kalajengking Naga,Scorpion joka,drake,Аждаҳо каждум,ஸ்கார்பியன் டிராகன்,Чаян Аждаһа,స్కార్పియన్ డ్రాగన్,ስኮርፒዮን ገበል,Dragona ya Xikhovha,Akrep Ejderha,Scorpion Aagondarha,Скорпіон Дракон,بچھو ڈریگن,چايان ئەجدىھا,Chayon Ajdaho,Scorpion Draig,I-Scorpion Idragoni,שפּיל סקאָרפּיאָן דראַגאָן,Akeke Dragoni,I-Scorpion Dragon,דרקון עקרב,Kalajengking Naga
스칼렛,Scarlet,スカーレット,史嘉雷,สการ์เล็ต,史凯雷,Scarlet,Scarlet,Scarlet,लाल,Scarlet,Skarlaken,Scarlet a ɛyɛ kɔkɔɔ,E kuqe e ndezur,ስካርሌት,اللون القرمزي,Scarlet,স্কাৰলেট,Escarlata sat tawaqu,Qırmızı,Scarlet (Scarlet) ye,Scarlet,Пунсовы,স্কারলেট,स्कारलेट के नाम से जानल जाला,Scarlet,Скарлет,Escarlata,Scarlet,Chofiira,Scarlet,Grimizna,Šarlatová,rød,ސްކާލެޓް އެވެ,स्कारलेट,Scharlaken,Skarlata,Scarlet,Scarlet si ƒe amadede nye aŋutiɖiɖi,Scarlet,Scarlet,Scarlet,Escarlata,Omumyufu,ალისფერი,Scharlach,स्कारलेट हें नांव,Κόκκινος,Escarlata rehegua,લાલચટક,Koulè wouj violèt,Scarlet,ʻulaʻula,Scarlet,Skarlátvörös,Skarlat,Acha uhie uhie,Eskarlata nga,Scarlet,Scarlatto,ಸ್ಕಾರ್ಲೆಟ್,Скарлет,ក្រហម,Umutuku,Skarlet we de na di wɔl,Scarlet,سکارلێت,Scarlet,ສີແດງ,coccineum,Scarlet,Scarlet ya langi ya motane,skaisčiai,Scharlachrout,Скарлет,स्कारलेट,mena,സ്കാർലറ്റ്,Skarlatina,ꯁ꯭ꯀꯥꯔꯂꯦꯠ꯫,Te wherowhero,स्कार्लेट,Scarlet a ni,Скарлет,နီသော,स्कार्लेट,Scarlet ya mmala o mohwibidu,Scarlet,ସ୍କାରଲେଟ୍ |,Scarlet jedhamuun beekama,سکارټ,اسکارلت,Szkarłat,Scarlet,ਸਕਾਰਲੇਟ,Escarlata,Stacojiu,Скарлет,mumu,स्कारलेट्,Sgàrlaid,Сцарлет,Sekareleta,Scarlet,ڳاڙهو,ස්කාර්ලට්,Scarlet,Škrlat,Casaan,Scarlet,Scarlet,Nyekundu,Scharlakansrött,Скарлет,கருஞ்சிவப்பு,Скарлет,స్కార్లెట్,ስካርለት,Xitshopana xa xirhendzevutani,kırmızı,Gyrmyzy,Скарлет,سکارلیٹ,قىپقىزىل,Skarlet,Ysgarlad,Emfusa,שאַרלעכ רויט,Awọ pupa,I-Scarlet,שני,Scarlet
네온 드래곤,Neon Dragon,ネオンドラゴン,霓虹龍,มังกรนีออน,霓虹龙,Naga Neon,Neon Dragon,Naga Neon,नियॉन अजगर,Huỳnh Quang Long,Neon Draak,Neon Ɔtweaseɛ,Dragoi neoni,ኒዮን ዘንዶ,التنين النيون,Նեոնային Վիշապ,নিয়ন ড্ৰেগন,Dragón ukax mä jach’a uñacht’äwiwa de Neón ukax mä jach’a uñacht’äwiwa,Neon Əjdaha,Dragon (Dragon) ye Neon ye,Neon herensuge,Неонавы Цмок,নিয়ন ড্রাগন,नीयन ड्रैगन के नाम से जानल जाला जानल जाला,Neon zmaj,Неонов Дракон,Drac de neó,Neon nga dragon,Neon Chinjoka,Neon Dragon,Neonski Zmaj,Neonový Drak,Neon Trække på,ނިއޯން ޑްރެގަން އެވެ,नीयन अजगर,Neon- Draak,Neona Drako,Draakon,Neon Ʋɔ driba,Neon Lohikäärme,Dragon Néon,Neon draak,Dragón de neón,Neon Ekisota,ნეონის დრაკონი,Drachen,निऑन ड्रॅगन हें नांव,Νέον Δράκων,Dragón de Neón rehegua,નિયોન ડ્રેગન,Neyon Dragon,Neon Dragon,Neon Deragona,Neon Zaj,Neon Sárkány,Neon Dreki,Neon Dragọn,Neon nga Dragon,Dragon Neon,Drago al neon,ನಿಯಾನ್ ಡ್ರ್ಯಾಗನ್,Неон Айдаһар,នាគ ណុន,Ikiyoka,Niɔn Dragon,Neon Zîha,ئەژدیها نیۆن,Neon Dragon,Neon ມັງກອນ,Neon draco,Neona Pūķis,Dragon ya Néon,Neoninis drakonas,Neon Dragon,Неонски Змеј,नीयन अजगर,Neon Dragona,നിയോൺ ഡ്രാഗൺ,Neon Dragun,ꯅꯤꯑꯣꯟ ꯗ꯭ꯔꯒꯟ꯫,tarakona Neon,निऑन ड्रॅगन,Neon Dragon a ni,Неон Луу,နီယွန် နဂါး,नियोन ड्र्यागन,Drakone ya Neon,Neon Drage,ନିନ୍ ଡ୍ରାଗନ୍ |,Ni'oon Draagoon,نیون ډریگن,اژدها نئون,Neonowy smok,Dragão Neon,ਨਿਓਨ ਡਰੈਗਨ,Dragon de Neón nisqa,balaur neon,Неончик,Neon tarako,नियोन अजगर,Neon Dragon,Неон Драгон,Neon Drakone,Neon Dragon,نيون ڊريگن,නියොන් මකරා,Neónový drak,Neonski Zmaj,Neon masduulaagii,Draneon,Naga Neon,joka Neon,Neon drake,Neon Аждаҳо,நியான் டிராகன்,Неон Аждаһа,నియాన్ డ్రాగన్,ኒዮን ገበል,Dragona ya Neon,Neon Ejderha,Neon Aagondarha,Неоновий Дракон,نیون ڈریگن,Neon ئەجدىھا,Neon Ajdaho,Draig Neon,Neon Idragoni,נעאָן דראַגאָן,Neon Dragoni,Neon Dragon,דרקון ניאון,Naga Neon
베라,Vera,ヴェラ,維拉,เวร่า,维拉,Vera,Vera,Vera,वेरा,Vera,Vera,Vera na ɔkyerɛwee,Vera,ቬራ,فيرا,Վերա,ভেৰা,Vera,Vera,Vera ye,Vera,Вера,ভেরা,वेरा के ह,Vera,Вера,Vera,Si Vera,Vera,Vera,Vera,Veru,Vera,ވެރާ އެވެ,वेरा,Vera,Vera,Vera,Vera,Vera,Vera,Vera,Vera,Vera,ვერა,Vera,वेरा हांणी केला,υποκοριστικό της Veronica,Vera,વેરા,Vera,Vera,ʻO Vera,Vera,Vera,Vera,Vera,Vera,Vera,Vera,ವೆರಾ,Вера,វីរ៉ា,Vera,Vɛra,Vera,ڤێرا,Вера,Vera,Vera,Vera,Vera,Vera,Vera,Вера,वेरा,Vera,വെരാ,Vera,ꯚꯦꯔꯥ꯫,Ko Vera,व्हेरा,Vera,Вера,ဗီရာ,भेरा,Vera,Vera,ଭେରା |,Veeraa,ویرا,ورا,Wera,Vera,ਵੇਰਾ,Vera,Vera,Вера,Vera,वेरा,Vera,Вера,Vera,Vera,ويرا,වේරා,Veru,Vera,Vera,Vera,Vera,Vera,Vera,Вера,வேரா,Вера,వెరా,ቬራ,Vera,Vera,Vera,Віра,ویرا,ۋېرا,Vera,Vera,Vera,וועראַ,Vera,Vera,ורה,Vera
타이탄,Titan,タイタン,泰坦,ไททัน,泰坦,Titan,Titan,Titan,टाइटन,Titan,Titan,Titan a ɛwɔ hɔ,Titan,ታይታን,تيتان,Տիտան,টাইটান,Titan ukax mä juk’a pachanakanwa,Titan,Titan (Titan) ye,Titana,Тытан,টাইটান,टाइटन के बा,Titan,Титан,Tità,Titan,Titani,Titanu,titan,Titan,Titan,ޓައިޓަން އެވެ,टाइटन,Titan,Titano,Titan,"Titan, si nye Titan",Titan,Titan,Titan,Titán,Titan ayitibwa Titan,ტიტანი,Titan,टायटन हें नांव,Τιτάν,Titán,ટાઇટન,Titàn,Titan,Titan,Titan,Titán,Títan,Titan,Titan,Tíotán,Titano,ಟೈಟಾನ್,Титан,ទីតាន,Titan,Taytan,Titan,تایتانیک,Титан,Titan,Titania,Titāns,Titan,Titanas,Titan,Титан,टाइटन,Titan,ടൈറ്റൻ,Titan,ꯇꯥꯏꯇꯟ꯫,Titan,टायटन,Titan a ni,Титан,တိုက်တန်,टाइटन,Thaethane,Titan,ଟାଇଟାନ୍ |,Tiitaanii,ټیټان,تیتان,tytan,Titan,ਟਾਇਟਨ,Titan,Titan,Титан,Titan,टाइटन्,Titan,Титан,Titan,Titan,ٽائيٽل,ටයිටන්,Titan,Titan,Titan,Titan,Titan,Titan,Titan,Титан,டைட்டன்,Титан,టైటాన్,ታይታን,Titan,titan,Titan,Титан,ٹائٹن,تىتان,Titan,Titan,I-Titan,טיטאַן,Titani,I-Titan,עֲנָק,Titan
스파인 드래곤,Spine Dragon,スパインドラゴン,脊刺龍,มังกรสไปน์,棘刺龙,Naga Spine,Spine Dragon,Naga Tulang Belakang,स्पाइन अजगर,Khất Châm Long,Draak van die ruggraat,Spine Ɔtweaseɛ,Spine Dragoi,የአከርካሪ ዘንዶ,التنين التنين,Ողնաշարի Վիշապ,স্পাইন ড্ৰেগন,Dragón ukax mä jach’a uñacht’äwiwa de columna vertebral ukax mä jach’a uñacht’äwiwa,Onurğa Əjdaha,Dragon (Dragon) ye bɛ wele ko Spine,Bizkarrezurra herensuge,Пазваночнік Цмок,মেরুদণ্ড ড্রাগন,स्पाइन ड्रैगन के नाम से जानल जाला,Spine zmaj,Spine Дракон,Drac Drac,Duol nga dragon,Spine Chinjoka,Dragon spine,Spine Zmaj,Páteřní Drak,Trække på,ސްޕައިން ޑްރެގަން އެވެ,रीढ़ की हड्डी अजगर,Ruggengraat Draak,Spina Drako,Selgroo Draakon,Spine Ʋɔ driba,Selkärangan Lohikäärme,Dragonépine,Spine draak,Dragón Espinazo,Omugongo Ekisota,ხერხემლის დრაკონი,Drachen,मेरुरज्जू ड्रॅगन हें नांव,Δράκων Σπονδυλικής Στήλης,Dragón columna vertebral rehegua,સ્પાઇન ડ્રેગન,Dragon kolòn vètebral,Dragon Dragon,Edera Deragona,Kab laug sab Zaj,Gerinc Sárkány,Dreki,Dragọn ọkpụkpụ azụ,Dragon ti Duri,Dragon spine,Drago della Spina Dorsale,ಸ್ಪೈನ್ ಡ್ರ್ಯಾಗನ್,Омыртқалы Айдаһар,នាគ ឆ្អឹងខ្នង,Ikiyoka,Spine Dragon wɔl,Spine Zîha,ئەژدیها بڕبڕەی پشت,Spine Dragon,ມັງກອນ ກະດູກສັນຫຼັງ,Spina draco,Mugurkaula Pūķis,Dragon ya mokuwa ya mokɔngɔ,Stuburo drakonas,Spine Dragon,Змеј од 'рбетот,रीढ़ के हड्डी अजगर,Dragona hazondamosina,സ്പൈൻ ഡ്രാഗൺ,Dragun tas-sinsla,ꯁ꯭ꯄꯥꯏꯅꯦꯜ ꯗ꯭ꯔꯒꯟ꯫,Tarakona tarakona,स्पाइन ड्रॅगन,Spine Dragon a ni,Луу луу,ကျောရိုး နဂါး,स्पाइन ड्र्यागन,Drakone ya Mokokotlo,Spine Drage,ମେରୁଦଣ୍ଡ ଡ୍ରାଗନ୍ |,Lafee Draagoon,سپین ډریگن,اژدهای ستون اژدها,Kręgosłupowy smok,Dragão Espinhal,ਸਪਾਈਨ ਡਰੈਗਨ,Dragon de columna vertebral,balaur Coloanei vertebrale,Хребетиус,Tarako tarako,मेरुदण्ड अजगर,Spàin Dragon,Спине Драгон,Spine Drakone,Spine Dragon,اسپائن ڊريگن,කොඳු ඇට පෙළේ මකරා,Chrbtový drak,Spine Zmaj,Laf-dhabarta masduulaagii,Draspine,Tulang tonggong Naga,joka la mgongo,Spine drake,Аждаҳо сутунмӯҳра,ஸ்பைன் டிராகன்,Умыртка Аждаһа,వెన్నెముక డ్రాగన్,ገበል ሕቖ ገበል,Dragona ya Nkolo,Omurga Ejderha,Oňurgaly Aagondarha,Хребетний Дракон,ریڑھ کی ڈریگن,ئەجدىھا سۆڭىكى,Orqa Ajdaho ajdaho,Draig yr Asgwrn Cefn,Umqolo Idragoni,רוקנביין דראַגאָן,Dragoni ọpa ẹhin,Umgogodla Dragon,דרקון השדרה,Tulang Belakang Naga
할로우,Hallow,ハロウ,聖徒,ฮาโลว์,圣徒龙,Hallow,Hallow,Hallow,पवित्र,Hallow,Heilig,Kronkron,Hallow,ሃሎው,قدس,Հոլոու,হেল',Santu,Hallow,Hallow (Hallow) ye,Santua,Святы,হ্যালো,पवित्र बा,Sveti,свят,Santificat,Hallow,Pamwamba,Hallow,Sveta,Posvátné,Hallow,މާތްވެގެންވާ,पवित्र,Heiligen,Hallow,Püha,Kɔkɔeƒe,Pyhä,Halogon,Hallow,Santo,Hallow,ჰელოუ,Heiligen,पवित्र,Αγιάζω,Hallow,હોલો,Hallow,Hallow,Hoʻāno,Hallow,Megszentel,Halló,Dị nsọ,Nasantuan,Halla,Santificare,ಹಲೋ,Сәлем,បរិសុទ្ធ,Hallow,Hallow,Hallow,پیرۆزە,Салам,ຮາໂລ,Sanctio,Svētīgs,Bosantu,Šventoji,Hallo,Hallow,पवित्र,hamasino,ഹലോ,Hallow,ꯍ꯭ꯌꯥꯂꯣ ꯇꯧꯕꯥ꯫,Hatapu,पवित्र,Hallow rawh,Баяртай,သန့်ရှင်းသော,पवित्र,Hallow,Hallow,ହାଲୋ |,Hallow,هیلو,هالو,Święcić,Hallow,ਪਵਿੱਤਰ,Santu,Sfinţi,Холлоу,Paia,पवित्रम्,Oidhche Shamhna,Свети,Hallow,Hallow,هالو,හලෝ,Hallow,sveto,Hallow,Hallow,Hallow,Hallow,Helga,Салом,புனிதமான,Хэллоу,హలో,ሃሎው,Hallow,kutsal,Hallow,Святий,مقدس,Hallow,Muborak,Calan Gaeaf,Hallow,העלא,Mimọ,Hallow,לְקַדֵשׁ,Hallow
이지스,Aegis,イージス,埃癸斯,เอจิส,埃癸斯,Aegis,Aegis,Aegis,एजिस,Aegis,Aegis,Aegis a ɛwɔ hɔ,Egjishat,ኤጊስ,ايجيس,Էգիս,এজিছ,Aegis ukax mä juk’a pachanakanwa,Aegis,Aegis (Aegis) ye,Aegis,Эгіда,এজিস,एजिस के नाम से जानल जाला,Aegis,Егида,Ègida,Aegis,Aegis,Aegis,Egida,Aegis,Aegis,އެޖިސް އެވެ,एजिस,Aegis,Egido,Aegis,Aegis si woyɔna be Aegis,Aegis,Isis,Aegis,Égida,Aegis,ეგისი,Ägide,एजिस हें वखद,Αιγίς,Aegis rehegua,એજીસ,Aegis,Aegis,Aegis,Aegis,Aegis,Ægis,Aegis,Aegis ti,choimirce,Egida,ಏಜಿಸ್,Эгис,អាហ្គីស,Aegis,Aegis we dɛn kɔl Aegis,Aegis,ئایگیس,Aegis,Aegis,Aegis,Aegis,"Aegis, oyo babengi Aegis",Aegis,Aegis,Егис,एजिस,Aegis,ഏജിസ്,Aegis,ꯑꯦꯖꯤꯁ (ꯑꯦꯖꯤꯁ)꯫,Aegis,एजिस,Aegis tih hi a ni,Эгис,Aegis,एजिस,Aegis ya go swana le yona,Aegis,ଏଗିସ୍ |,Aegis jedhamuun beekama,Aegis,ایجیس,Egida,Aegis,ਏਜੀਸ,Aegis nisqa,Aegis,Эгид,Aegis,एजिस्,Aegis,Аегис,Aegis,Aegis,ايجيس,ඒජීස්,Egídia,Aegis,Aegis,Aegis,Aegis,Aegis,Aegis,Эгис,ஏஜிஸ்,Эгис,ఏజిస్,ኤጂስ,Aegis ya xirhendzevutani,Kalkan,Aegis,Егіда,ایجس,Aegis,Aegis,Aeg,Aegis,Aegis,Aegis,I-Aegis,איגיס,Aegis
애니마라,Animala,アニマラ,靈魂,แอนิมาลา,灵魂,Animala,Animala,Animala,एनिमला,Animala,Animala,Animala,Kafshë,እንስሳ,أنيمالا,Կենդանիներ,অনিমলা,Animala,Heyvana,Animala,Animalia,Анімала,প্রাণী,अनिमाला के बा,Animala,Animala,Animala,Animala,Nyama,Animala,Animala,Animala,Animala,އަނިމަލާ އެވެ,अनिमाला,Dier,Besto,Loom,Animala ƒe ŋkɔ,Animala,Animala,Animala,Animala,Animala,ცხოველი,Animala,अनिमाला,Ζώο,Animala,પ્રાણી,Animala,Animala,Animala,Animala,Animala,Animala,Anụmanụ,Animala,Ainmhí,Animale,ಅನಿಮಲ,Animala,អាម៉ាឡា,Animala,Animala we de na di wɔl,Animala,ئەنیمالا,Animala,ສັດ,Animala,Dzīvnieks,Animala oyo ezali na bomoi,Gyvūnai,Animala,Животно,अनिमाला,Animala,ആനിമല,Animala,ꯑꯅꯤꯃꯥꯂꯥ꯫,Animala,प्राणी,Animala,Амьтан,Animala,पशु,Animala,Animala,ଅନିମାଲା |,Animala,حیوانات,حیوان,Zwierzęta,Animala,ਪਸ਼ੂ,Animala,Animala,Анимала,Animala,अनिमाला,Beathach,Анимала,Animala,Animala,جانور,සත්ව,Animala,Animala,Animala,Animala,Animala,Wanyama,Animala,Animala,விலங்குமாலா,Анимала,జంతుమాల,ኣኒማላ,Animala,Hayvanlar,Animala,Анімала,جانور,Animala,Hayvonlar,Anifeiliaid,Animala,אַנימאַלאַ,Animala,Izilwane,אנימלה,Animala
